"","PEDU1","PEDU2","POCC1","POCC2","PSES1","PI1","PI2","PI3","PS1","PS2","PS3","PS4","DE1","DE2","SELD1","SELD2","SELD3","SELD4","SELD5","SIM1","SIM2","SIM3","SIM4","ANXI1","ANXI2","ANXI3","POSS1","POSS2","POSS3","TMP1","TMP2","TMP3","TMP4","TAC1","TAC2","TAC3","TAC4","CENV1","CU1","CU2","ARES1","ARES2","ARES3","SCORE"
"1","Lower_Secondary","Elementary","Government_Officer","Housewife",2,3,4,4,4,4,4,3,4,"Moderate","2 to 4","< 2",4,3,5,5,5,4,4,2,2,1,"Yes","Yes","Yes",4,1,5,5,5,5,5,5,2,"Khmer","Irregular","Enough","Enough","Enough","3"
"2","Lower_Secondary","Elementary","Business","Business",2,4,4,4,5,5,3,5,4,"Moderate","< 2","> 4",4,2,5,4,5,5,5,2,4,1,"Yes","No","Yes",4,1,5,5,5,5,4,5,2,"Khmer","Fullday","Enough","Enough","Not_enough","3"
"3","Upper_Secondary","Lower_Secondary","Business","Business",2,3,5,5,3,3,2,3,5,"Short","2 to 4","> 4",5,2,5,5,5,5,5,1,2,1,"Yes","No","Yes",5,2,5,5,5,5,5,5,3,"Khmer","Irregular","Enough","Enough","Enough","3"
"4","Graduate","Undergraduate","Government_Officer","Government_Officer",3,3,4,5,3,5,3,4,4,"Moderate","< 2","> 4",4,3,5,5,4,4,5,2,5,4,"Yes","No","Yes",5,2,5,5,5,5,5,5,2,"Khmer","Irregular","Enough","Enough","Maybe","2"
"5","Lower_Secondary","Elementary","Farmer","Housewife",2,4,5,4,4,4,3,3,3,"Short","< 2","Never",4,1,5,5,5,4,5,1,2,1,"Yes","Yes","Yes",4,2,5,5,4,4,4,4,3,"Khmer","Irregular","Enough","Enough","Maybe","2"
"6","Upper_Secondary","Lower_Secondary","Government_Officer","Farmer",3,4,5,4,3,3,2,3,3,"Moderate","Never","> 4",4,4,4,4,3,4,5,3,5,4,"Yes","No","No",4,2,5,4,5,5,4,5,2,"Khmer","Irregular","Enough","Enough","Maybe","0"
"7","Elementary","Elementary","Others","Others",2,4,5,5,2,5,2,5,5,"Moderate","< 2","< 2",2,2,5,5,5,4,4,2,5,2,"Yes","No","Yes",3,1,4,5,5,3,4,5,2,"Khmer","Irregular","Enough","Enough","Maybe","2"
"8","Elementary","Elementary","Business","Business",2,5,5,5,5,5,5,5,5,"Moderate","< 2","> 4",5,4,3,5,5,5,4,2,2,2,"Yes","Yes","Yes",4,1,5,5,5,5,5,5,2,"Khmer","Fullday","Not_enough","Enough","Not_enough","3"
"9","Upper_Secondary","Upper_Secondary","Business","Business",3,5,5,5,4,4,4,5,4,"Moderate","2 to 4","2 to 4",3,1,3,5,5,4,5,3,3,2,"Yes","Yes","Yes",4,2,4,5,5,5,4,5,2,"Khmer","Irregular","Enough","Enough","Enough","3"
"10","Undergraduate","Undergraduate","Government_Officer","Government_Officer",3,5,5,5,4,4,5,5,5,"Moderate","2 to 4","> 4",5,4,4,4,5,4,5,3,3,2,"Yes","Yes","Yes",4,1,5,5,5,5,4,5,3,"Others","Irregular","Enough","Enough","Enough","2"
