PEDU1,PEDU2,POCC1,POCC2,PSES1,PI1,PI2,PI3,PS1,PS2,PS3,PS4,DE1,DE2,SELD1,SELD2,SELD3,SELD4,SELD5,SIM1,SIM2,SIM3,SIM4,ANXI1,ANXI2,ANXI3,POSS1,POSS2,POSS3,TMP1,TMP2,TMP3,TMP4,TAC1,TAC2,TAC3,TAC4,CENV1,CU1,CU2,ARES1,ARES2,ARES3,SCORE
Lower_Secondary,Elementary,Government_Officer,Housewife,2,3,4,4,4,4,4,3,4,Moderate,2 to 4,< 2,4,3,5,5,5,4,4,2,2,1,Yes,Yes,Yes,4,1,5,5,5,5,5,5,2,Khmer,Irregular,Enough,Enough,Enough,Excellent
Lower_Secondary,Elementary,Business,Business,2,4,4,4,5,5,3,5,4,Moderate,< 2,> 4,4,2,5,4,5,5,5,2,4,1,Yes,No,Yes,4,1,5,5,5,5,4,5,2,Khmer,Fullday,Enough,Enough,Not_enough,Excellent
Upper_Secondary,Lower_Secondary,Business,Business,2,3,5,5,3,3,2,3,5,Short,2 to 4,> 4,5,2,5,5,5,5,5,1,2,1,Yes,No,Yes,5,2,5,5,5,5,5,5,3,Khmer,Irregular,Enough,Enough,Enough,Excellent
Graduate,Undergraduate,Government_Officer,Government_Officer,3,3,4,5,3,5,3,4,4,Moderate,< 2,> 4,4,3,5,5,4,4,5,2,5,4,Yes,No,Yes,5,2,5,5,5,5,5,5,2,Khmer,Irregular,Enough,Enough,Maybe,Good
Lower_Secondary,Elementary,Farmer,Housewife,2,4,5,4,4,4,3,3,3,Short,< 2,Never,4,1,5,5,5,4,5,1,2,1,Yes,Yes,Yes,4,2,5,5,4,4,4,4,3,Khmer,Irregular,Enough,Enough,Maybe,Good
Upper_Secondary,Lower_Secondary,Government_Officer,Farmer,3,4,5,4,3,3,2,3,3,Moderate,Never,> 4,4,4,4,4,3,4,5,3,5,4,Yes,No,No,4,2,5,4,5,5,4,5,2,Khmer,Irregular,Enough,Enough,Maybe,Poor
Elementary,Elementary,Others,Others,2,4,5,5,2,5,2,5,5,Moderate,< 2,< 2,2,2,5,5,5,4,4,2,5,2,Yes,No,Yes,3,1,4,5,5,3,4,5,2,Khmer,Irregular,Enough,Enough,Maybe,Good
Elementary,Elementary,Business,Business,2,5,5,5,5,5,5,5,5,Moderate,< 2,> 4,5,4,3,5,5,5,4,2,2,2,Yes,Yes,Yes,4,1,5,5,5,5,5,5,2,Khmer,Fullday,Not_enough,Enough,Not_enough,Excellent
Upper_Secondary,Upper_Secondary,Business,Business,3,5,5,5,4,4,4,5,4,Moderate,2 to 4,2 to 4,3,1,3,5,5,4,5,3,3,2,Yes,Yes,Yes,4,2,4,5,5,5,4,5,2,Khmer,Irregular,Enough,Enough,Enough,Excellent
Undergraduate,Undergraduate,Government_Officer,Government_Officer,3,5,5,5,4,4,5,5,5,Moderate,2 to 4,> 4,5,4,4,4,5,4,5,3,3,2,Yes,Yes,Yes,4,1,5,5,5,5,4,5,3,Others,Irregular,Enough,Enough,Enough,Good
Lower_Secondary,Elementary,Others,Housewife,2,5,5,5,4,3,4,4,3,Short,< 2,> 4,4,1,5,5,5,5,5,3,2,3,Yes,Yes,No,5,4,5,5,5,5,4,5,2,Khmer,One_Shift,Maybe,Enough,Not_enough,Excellent
Undergraduate,Undergraduate,Government_Officer,Government_Officer,3,4,4,5,4,3,2,3,3,Far,2 to 4,> 4,4,3,5,5,5,3,5,2,4,1,Yes,Yes,Yes,5,3,5,5,5,4,3,3,2,Khmer,One_Shift,Enough,Enough,Maybe,Excellent
Undergraduate,Upper_Secondary,Government_Officer,Farmer,3,5,4,5,4,4,5,5,4,Moderate,2 to 4,> 4,5,5,5,5,4,5,5,1,1,1,No,No,Yes,5,1,5,5,5,5,5,5,3,Khmer,Fullday,Enough,Enough,Not_enough,Excellent
Lower_Secondary,Lower_Secondary,Elders,Government_Officer,2,3,5,5,4,4,4,4,4,Moderate,< 2,> 4,4,2,4,4,4,5,4,2,3,2,Yes,Yes,Yes,4,2,4,4,4,4,4,4,2,Khmer,Irregular,Not_enough,Not_enough,Not_enough,Good
Illiteracy,Illiteracy,Unemployment,Others,1,2,2,2,1,1,1,1,3,Far,< 2,Never,4,1,2,3,5,5,5,3,3,3,No,No,No,5,1,5,5,3,3,3,3,3,Khmer,Fullday,Enough,Enough,Enough,Poor
Elementary,Lower_Secondary,Farmer,Housewife,2,5,5,5,4,4,3,4,4,Moderate,2 to 4,> 4,4,1,5,5,5,5,5,3,4,3,Yes,Yes,Yes,4,2,5,5,5,5,5,5,2,Khmer,Irregular,Enough,Enough,Enough,Excellent
Illiteracy,Elementary,Farmer,Farmer,1,5,5,5,4,4,4,5,4,Moderate,> 4,2 to 4,5,2,5,4,5,5,5,1,2,1,No,No,No,4,2,5,5,4,5,4,5,3,Khmer,Irregular,Enough,Enough,Enough,Poor
